Unnamed,이름,이메일,견종,견종_코드,크기,크기_코드,색상,색상_코드,연령대,연령대_코드,상태,상태_코드,브랜드,브랜드_코드,사료,사료_코드,평점,후기,주소,국가,시도,시군구,CP,CF,CR,CB,CA,PO,WA,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24,field_25,field_26,field_27,field_28,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41,field_42,field_43,field_44,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54,field_55,field_56,field_57,field_58,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71,field_72,field_73,field_74,field_75,field_76,field_77,field_78,field_79,field_80,field_81,field_82,field_83
0,초롱이,dummy1@dummy.dummy ,포메라니안,SPM,소형견,S,퓨어화이트,PH,노견,S,유루증,EP,이퀼리브니오,EQ,어덜트독,EQ007,5,"화이트 포메라니안 2마리를 키우고 있는데, 매일 닦아줘도 눈물 자국은 어쩔수없었다. 하지만 3년전부터 이퀄리브리오로 사료를 바꿔주고 난 뒤에는 눈물이 거짓말 처럼 사라졌다. 다른 사료로 잠시 교체 하게 되면 바로 눈물이 폭발하는걸로 봐서 이퀄리브리오 사료가우리아이들에겐 눈물 잡는 선생인듯하다. 단, 사료의 질이 그닥 우수 한것 같지는 않아서 다른 고급 사료로 바꿔주고 싶으나, 타 사료로 교체 시 바로 폭발하는  눈물 때문에 교체를 못하고 있다. 혹시 이퀄리브리오와 같은 성분의  고급 사료를 찾을 수있다면 교체 해 주고 싶은 마음이다 ",대전 갈마동,대한민국,대전광역시,서구,27.0,14.0,7.0,3.0,1.0,1.0,10.0,AC,EF,BMA,BR,BCG,AE,GPC,APF,HFO,HY,BL,HHPSM,GSCH,CSP,CYSE,HPRO,HIN,GPDP,BBP,FMV,GCMP,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
1,뽀미,dummy2@dummy.dummy,포메라니안,SPM,소형견,S,퓨어화이트,PH,노견,S,슬개골 탈구,LP,이퀼리브니오,EQ,어덜트독,EQ007,4,"슬개골과 눈물 중에 눈물에 좋은 사료를 선택하고 슬개골에 좋은 영양소로 케어 해주고 있다. 눈물에는 효과가 있는걸 육안으로 확인 할 수있지만, 관절에 좋은지 확인을 할 수는 없다.누가 알려주는 사람도 없고.",대전 갈마동,대한민국,대전광역시,서구,27.0,14.0,7.0,3.0,1.0,1.0,10.0,AC,EF,BMA,BR,BCG,AE,GPC,APF,HFO,HY,BL,HHPSM,GSCH,CSP,CYSE,HPRO,HIN,GPDP,BBP,FMV,GCMP,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
2,큐브,dummy315@dummy.dummy,포메라니안,SPM,소형견,S,퓨어화이트,PH,노견,S,유루증,EP,이퀄리브리오 인도어 어덜트 스몰사이즈,EQ,어덜트독,EQ007,5,다른사료로 잠깐 이라도 바꿔주면 눈물이 폭발함. 다시 이퀄리브리오 사료로 바꾸면 2주만에 눈물자국이 개선되서 2년째 한가지 사료만 먹이고 있음,대전 서구,대한민국,대전광역시,서구,27.0,14.0,7.0,3.0,1.0,1.0,10.0,AC,EF,BMA,BR,BCG,AE,GPC,APF,HFO,HY,BL,HHPSM,GSCH,CSP,CYSE,HPRO,HIN,GPDP,BBP,FMV,GCMP,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
3,설이,dummy534@dummy.dummy,스피츠,MSZ,중형견,M,퓨어화이트,PH,강아지,P,장염 및 소화기계,GP,이퀼리브리오,EQ,어덜트독,EQ007,2,"사료를 물에 불리려 하는데, 잘 불려지지 않음. 그래서 먹는게 힘들어보인다",서울 동대문구,대한민국,서울특별시,동대문구,27.0,14.0,7.0,3.0,1.0,1.0,10.0,AC,EF,BMA,BR,BCG,AE,GPC,APF,HFO,HY,BL,HHPSM,GSCH,CSP,CYSE,HPRO,HIN,GPDP,BBP,FMV,GCMP,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
4,미키,dummy681@dummy.dummy,시츄,SST,소형견,S,퓨어화이트,PH,성견,A,비만,OB,이퀼리브니오,EQ,어덜트독,EQ007,4,잘먹어서 좋으나 비만은 좀더 지켜봐야 할 것 같다.,전남,대한민국,전라남도,blank,27.0,14.0,7.0,3.0,1.0,1.0,10.0,AC,EF,BMA,BR,BCG,AE,GPC,APF,HFO,HY,BL,HHPSM,GSCH,CSP,CYSE,HPRO,HIN,GPDP,BBP,FMV,GCMP,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
5,도로시,dummy726@dummy.dummy,말티즈,SML,소형견,S,퓨어화이트,PH,성견,A,유루증,EP,이퀼리브니오 어덜트 스몰브리드,EQ,어덜트독,EQ007,4,알갱이가 작고 눈물이 많이 사라졌다. 효과가 좋은 듯 하다,전남 고흥군,대한민국,전라남도,고흥군,27.0,14.0,7.0,3.0,1.0,1.0,10.0,AC,EF,BMA,BR,BCG,AE,GPC,APF,HFO,HY,BL,HHPSM,GSCH,CSP,CYSE,HPRO,HIN,GPDP,BBP,FMV,GCMP,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
6,설이,dummy3@dummy.dummy,스피츠,MSZ,중형견,M,퓨어화이트,PH,성견,A,슬개골 탈구,LP,하림,HM,오븐베이크 치킨 어덜트,HM015,5,스피츠설이가 제일 좋아하는 하림.. 설이는 특히 사료 딱딱한걸 좋아하지 않고 습식 사료도 싫어하는데 유독 하림만 좋아하고 잘 먹고 있어 애용하고. 아마 신선해서 잘 먹는듯,경기도 성남시 수정구,대한민국,경기도,성남시 수정구,25.0,15.0,10.0,5.0,0.7,0.6,10.0,AC,BCP,BPST,BPP,HCHI,CTA,BBP,BL,HCO,GCALP,ALC,AHAP,HBYEA,EGG,GCALC,GS,GPC,HGL,DSW,HCCHL,FMETH,GTMM,FMV,HIN,FLLYS,FVE,CGTE,TA,HROS,CBL,CAS,HLC,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
7,땅콩이,dummy4@dummy.dummy,푸들,SPD,소형견,S,퓨어화이트,PH,성견,A,장염 및 소화기계,GP,지위픽,ZW,독 소고기,ZW003,5,아카나는 간식으로 주지만 기호성 갑 지위픽은 입 짧은 우리아이 영양식으로 한그릇뚝딱,서울 관악구,대한민국,서울특별시,관악구,34.0,28.0,8.0,1.5,0.0,0.0,15.0,AB,ALOB,DGLM,HLEC,CCHI,DKP,CPAR,FMV,FMMI,FVE,AHOB,AKOB,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
8,설탕이,dummy762@dummy.dummy,요크셔테리어,SYT,소형견,S,퓨어화이트,PH,성견,A,유루증,EP,지위픽,ZW,독 소고기,ZW003,1,알러지 반응이 일어났다. 우리 강아지에게 안맞는듯...바꿔야겠다,서울 동대문구,대한민국,서울특별시,동대문구,34.0,28.0,8.0,1.5,0.0,0.0,15.0,AB,ALOB,DGLM,HLEC,CCHI,DKP,CPAR,FMV,FMMI,FVE,AHOB,AKOB,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
9,토토,dummy5@dummy.dummy,푸들,SPD,소형견,S,애프리코트,AC,성견,A,피부병,SD,로얄캐닌,RN,미니 인도어 어덜트,RN042,5,기호성과 영양분이 좋은 사료라 아이가 잘 먹어서 계속 급여중에 있네요,서울 영등포구,대한민국,서울특별시,영등포구,21.0,14.0,6.1,1.9,0.75,0.5,0.0,BR,APM,BMA,HANI,HVEGP,AHAP,BBP,FMMI,HSO,HVEGF,HHY,HFO,HFOS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
